id,name,brand,category,price,description,stock,rating
TV0042,Cinema TV v37545,Spectra,smart_tv,1554.61,55 inch smart TV with 4K resolution.,147,4.0
TV0043,Ultra TV v60030,Spectra,smart_tv,1170.5,75 inch smart TV with HDR support.,12,0.0
SP0044,Fusion Phone v65803,NextCom,smartphone,1087.83,Smartphone with 5G connectivity.,81,4.5
SPK0045,BoomBox v60944,BeatBox,speaker,284.41,Speaker delivering wireless connectivity.,4,3.7
LP0046,Performance Pro v35911,NextGen,laptop,1394.47,15.6 inch laptop featuring latest processor.,8,4.0
LP0047,Pro Book v77512,EconCo,laptop,391.67,17 inch laptop featuring lightweight design.,130,0.0
SP0048,SmartPhone Y v59555,Futura,smartphone,1089.44,Smartphone with vivid display.,100,3.7
SP0049,SmartPhone X v14491,NextCom,smartphone,1061.38,Smartphone with 5G connectivity.,130,4.2
LP0050,Business Mate v20447,TechCo,laptop,1777.1,14 inch laptop featuring long battery life.,151,3.5
LP0051,Business Mate v60829,UltraComp,laptop,1725.81,15.6 inch laptop featuring long battery life.,29,0.0
SPK0052,SoundWave v28632,BassLine,speaker,227.63,Speaker delivering crystal clear sound.,199,0.0
SPK0053,Audio Pro v67192,BassLine,speaker,289.46,Speaker delivering wireless connectivity.,43,4.0
SP0054,SmartPhone Y v29628,TechCo,smartphone,313.24,Smartphone with long-lasting battery.,75,3.7
TV0055,SmartView TV v65040,ViewTech,smart_tv,2227.23,75 inch smart TV with smart connectivity.,1,4.0
SPK0056,ClearSound v32891,BassLine,speaker,231.0,Speaker delivering wireless connectivity.,122,4.1
TV0057,Cinema TV v59420,Spectra,smart_tv,1889.87,40 inch smart TV with sleek design.,53,4.0
SPK0058,Bass Boost v12887,SoundCo,speaker,292.21,Speaker delivering wireless connectivity.,5,0.0
SPK0059,Bass Boost v6458,BeatBox,speaker,309.42,Speaker delivering wireless connectivity.,114,3.8
SP0060,Mobile Z v41663,Futura,smartphone,338.05,Smartphone with advanced camera system.,178,4.0
SPK0061,Audio Pro v451,SoundCo,speaker,178.34,Speaker delivering deep bass.,84,3.3
LP0062,Econo Note v90466,TechCo,laptop,1635.01,14 inch laptop featuring long battery life.,150,0.0
SPK0063,BoomBox v65359,BassLine,speaker,164.79,Speaker delivering compact design.,87,3.2
TV0064,Infinity TV v28007,UltraVision,smart_tv,1138.74,75 inch smart TV with sleek design.,81,3.5
SP0065,Maxi Phone v60347,NextCom,smartphone,390.05,Smartphone with vivid display.,14,3.8
LP0066,Business Mate v98970,TechCo,laptop,1903.3,14 inch laptop featuring lightweight design.,36,4.5
SP0067,Mobile Z v86518,RivalTech,smartphone,331.87,Smartphone with 5G connectivity.,135,4.0
SP0068,Fusion Phone v17814,Futura,smartphone,1064.81,Smartphone with long-lasting battery.,15,4.5
LP0069,Econo Note v80075,EconCo,laptop,677.92,14 inch laptop featuring latest processor.,32,3.2
TV0070,SmartView TV v59938,CinemaCo,smart_tv,1459.4,65 inch smart TV with sleek design.,110,4.2
SPK0071,BoomBox v54514,SoundCo,speaker,329.92,Speaker delivering compact design.,142,3.9
TV0072,Ultra TV v67674,Spectra,smart_tv,1583.17,65 inch smart TV with sleek design.,83,3.5
SP0073,SmartPhone X v43621,RivalTech,smartphone,380.28,Smartphone with long-lasting battery.,132,5.0
SPK0074,ClearSound v17776,BeatBox,speaker,171.15,Speaker delivering crystal clear sound.,65,3.5
TV0075,Infinity TV v41059,CinemaCo,smart_tv,530.8,40 inch smart TV with sleek design.,6,0.0
SP0076,SmartPhone X v34592,NextCom,smartphone,702.1,Smartphone with 5G connectivity.,122,4.0
TV0077,Cinema TV v54813,CinemaCo,smart_tv,2711.4,75 inch smart TV with sleek design.,148,4.5
SP0078,Fusion Phone v50824,NextCom,smartphone,386.81,Smartphone with advanced camera system.,127,3.9
LP0079,Performance Pro v69364,NextGen,laptop,1789.05,17 inch laptop featuring latest processor.,161,4.1
SPK0080,SoundWave v13252,BeatBox,speaker,249.31,Speaker delivering compact design.,194,0.0
LP0081,Performance Pro v43223,TechCo,laptop,1641.7,15.6 inch laptop featuring lightweight design.,133,4.0
SP0082,SmartPhone X v52218,NextCom,smartphone,485.25,Smartphone with long-lasting battery.,73,4.0
SPK0083,BoomBox v92361,AudioMax,speaker,356.66,Speaker delivering crystal clear sound.,87,4.2
SPK0084,Bass Boost v21272,BassLine,speaker,423.21,Speaker delivering deep bass.,76,4.0
LP0085,Econo Note v91185,UltraComp,laptop,376.9,17 inch laptop featuring latest processor.,161,3.8
TV0086,Ultra TV v45075,Spectra,smart_tv,912.82,65 inch smart TV with smart connectivity.,194,3.0
TV0087,Vivid TV v60191,Spectra,smart_tv,432.68,40 inch smart TV with sleek design.,147,0.0
SP0088,Maxi Phone v11433,TechCo,smartphone,586.22,Smartphone with long-lasting battery.,146,3.5
SP0089,SmartPhone Y v51712,RivalTech,smartphone,219.04,Smartphone with advanced camera system.,10,4.2
SP0090,Mobile Z v58345,NextCom,smartphone,226.58,Smartphone with long-lasting battery.,94,4.0
SPK0091,Audio Pro v46451,BassLine,speaker,233.99,Speaker delivering crystal clear sound.,101,3.8
SP0092,Fusion Phone v55734,TechCo,smartphone,866.48,Smartphone with advanced camera system.,104,3.6
TV0093,Cinema TV v57014,UltraVision,smart_tv,1488.74,65 inch smart TV with HDR support.,41,3.8
LP0094,Ultra Thin v69163,UltraComp,laptop,1980.47,13.3 inch laptop featuring high performance graphics.,188,0.0
SPK0095,ClearSound v43854,AudioMax,speaker,80.77,Speaker delivering crystal clear sound.,12,4.7
SP0096,Mobile Z v29983,TechCo,smartphone,590.52,Smartphone with 5G connectivity.,62,4.0
SP0097,SmartPhone X v69203,Futura,smartphone,770.94,Smartphone with long-lasting battery.,85,4.5
LP0098,Pro Book v40439,NextGen,laptop,961.93,15.6 inch laptop featuring high performance graphics.,137,4.5
SPK0099,Audio Pro v12801,SoundCo,speaker,133.52,Speaker delivering wireless connectivity.,122,4.5
TV0100,Cinema TV v61200,Spectra,smart_tv,1988.61,50 inch smart TV with 4K resolution.,154,4.5
TV0101,Infinity TV v44038,UltraVision,smart_tv,1663.72,40 inch smart TV with sleek design.,175,4.2
SP0102,Fusion Phone v49206,TechCo,smartphone,1049.08,Smartphone with vivid display.,172,4.0
SPK0103,SoundWave v40435,AudioMax,speaker,316.81,Speaker delivering crystal clear sound.,156,4.7
SP0104,Maxi Phone v54822,TechCo,smartphone,746.59,Smartphone with long-lasting battery.,29,5.0
TV0105,Cinema TV v33206,Spectra,smart_tv,2531.35,75 inch smart TV with smart connectivity.,163,4.5
SPK0106,BoomBox v83317,BeatBox,speaker,216.36,Speaker delivering compact design.,141,4.0
LP0107,Business Mate v94500,EconCo,laptop,1460.29,17 inch laptop featuring high performance graphics.,161,3.0
SP0108,Mobile Z v8284,RivalTech,smartphone,1096.48,Smartphone with vivid display.,134,3.8
LP0109,Pro Book v52241,TechCo,laptop,486.0,13.3 inch laptop featuring long battery life.,42,0.0
SPK0110,SoundWave v68527,BeatBox,speaker,401.92,Speaker delivering deep bass.,74,3.8
SPK0111,BoomBox v97494,SoundCo,speaker,438.62,Speaker delivering crystal clear sound.,38,4.0
SPK0112,BoomBox v75401,SoundCo,speaker,413.1,Speaker delivering crystal clear sound.,28,3.8
TV0113,SmartView TV v65816,CinemaCo,smart_tv,2467.68,50 inch smart TV with sleek design.,98,3.8
SP0114,SmartPhone X v3815,NextCom,smartphone,864.92,Smartphone with vivid display.,38,3.0
SP0115,SmartPhone Y v57854,NextCom,smartphone,661.34,Smartphone with 5G connectivity.,126,3.7
SP0116,Maxi Phone v70992,NextCom,smartphone,963.88,Smartphone with 5G connectivity.,187,3.2
LP0117,Pro Book v8493,UltraComp,laptop,1306.36,13.3 inch laptop featuring high performance graphics.,22,4.0
SP0118,SmartPhone Y v39062,NextCom,smartphone,690.34,Smartphone with advanced camera system.,6,4.3
LP0119,Pro Book v60930,UltraComp,laptop,1121.82,14 inch laptop featuring long battery life.,95,5.0
LP0120,Performance Pro v56156,UltraComp,laptop,399.08,13.3 inch laptop featuring latest processor.,26,5.0
SP0121,Mobile Z v56536,TechCo,smartphone,386.58,Smartphone with advanced camera system.,86,4.3
SP0122,Mobile Z v909,RivalTech,smartphone,588.2,Smartphone with 5G connectivity.,197,4.5
TV0123,Infinity TV v49594,Spectra,smart_tv,1544.13,65 inch smart TV with 4K resolution.,63,3.5
SP0124,Maxi Phone v38082,NextCom,smartphone,593.26,Smartphone with 5G connectivity.,82,3.4
SP0125,SmartPhone X v31070,Futura,smartphone,493.71,Smartphone with long-lasting battery.,109,3.8
LP0126,Ultra Thin v57920,NextGen,laptop,1391.95,15.6 inch laptop featuring high performance graphics.,198,4.5
SPK0127,Audio Pro v73406,SoundCo,speaker,186.84,Speaker delivering wireless connectivity.,176,3.8
LP0128,Performance Pro v54045,TechCo,laptop,1008.75,14 inch laptop featuring long battery life.,131,3.5
LP0129,Econo Note v41087,NextGen,laptop,1951.61,15.6 inch laptop featuring latest processor.,64,0.0
SP0130,Fusion Phone v25516,RivalTech,smartphone,797.95,Smartphone with advanced camera system.,77,3.5
SP0131,Mobile Z v23540,NextCom,smartphone,961.11,Smartphone with 5G connectivity.,75,4.0
SPK0132,ClearSound v85133,AudioMax,speaker,470.97,Speaker delivering compact design.,142,3.2
TV0133,SmartView TV v50715,CinemaCo,smart_tv,1991.13,55 inch smart TV with HDR support.,95,4.2
LP0134,Econo Note v5630,UltraComp,laptop,1561.59,13.3 inch laptop featuring long battery life.,61,0.0
LP0135,Ultra Thin v30660,NextGen,laptop,1257.41,17 inch laptop featuring lightweight design.,140,4.5
SP0136,Fusion Phone v72051,RivalTech,smartphone,933.27,Smartphone with long-lasting battery.,116,4.2
SP0137,SmartPhone Y v35874,Futura,smartphone,771.2,Smartphone with long-lasting battery.,31,3.8
LP0138,Econo Note v42907,NextGen,laptop,466.02,15.6 inch laptop featuring high performance graphics.,193,3.2
SP0139,Mobile Z v44504,TechCo,smartphone,372.66,Smartphone with advanced camera system.,73,3.5
TV0140,Vivid TV v55708,CinemaCo,smart_tv,1013.7,55 inch smart TV with sleek design.,47,3.0
SP0141,Fusion Phone v23020,Futura,smartphone,283.2,Smartphone with 5G connectivity.,130,4.0
SP0142,SmartPhone Y v51190,TechCo,smartphone,1022.02,Smartphone with 5G connectivity.,169,4.0
SPK0143,Bass Boost v83659,BeatBox,speaker,209.2,Speaker delivering compact design.,70,3.5
SP0144,Mobile Z v84070,NextCom,smartphone,629.78,Smartphone with 5G connectivity.,195,4.3
TV0145,Vivid TV v42601,ViewTech,smart_tv,2821.84,65 inch smart TV with smart connectivity.,123,0.0
LP0146,Econo Note v45670,NextGen,laptop,1897.91,15.6 inch laptop featuring high performance graphics.,22,3.8
SP0147,Maxi Phone v71896,RivalTech,smartphone,525.45,Smartphone with vivid display.,28,4.0
TV0148,Vivid TV v22433,ViewTech,smart_tv,635.76,75 inch smart TV with HDR support.,152,4.0
SPK0149,BoomBox v97848,AudioMax,speaker,120.64,Speaker delivering crystal clear sound.,46,4.3
SP0150,SmartPhone Y v72823,NextCom,smartphone,834.87,Smartphone with long-lasting battery.,125,3.8
SP0151,Mobile Z v65692,TechCo,smartphone,1187.64,Smartphone with advanced camera system.,117,5.0
SP0152,Maxi Phone v92901,Futura,smartphone,695.77,Smartphone with vivid display.,105,4.5
TV0153,Infinity TV v83082,CinemaCo,smart_tv,1584.9,65 inch smart TV with sleek design.,17,4.5
SP0154,Mobile Z v11601,TechCo,smartphone,761.05,Smartphone with 5G connectivity.,110,0.0
TV0155,Cinema TV v39080,ViewTech,smart_tv,2137.38,65 inch smart TV with 4K resolution.,199,4.3
SPK0156,SoundWave v26636,SoundCo,speaker,281.82,Speaker delivering crystal clear sound.,101,3.8
SPK0157,Bass Boost v3811,AudioMax,speaker,396.32,Speaker delivering deep bass.,151,3.6
LP0158,Pro Book v66530,UltraComp,laptop,1653.93,13.3 inch laptop featuring high performance graphics.,110,3.5
TV0159,Cinema TV v40725,Spectra,smart_tv,1458.56,50 inch smart TV with sleek design.,165,5.0
SP0160,Maxi Phone v33500,Futura,smartphone,774.88,Smartphone with advanced camera system.,153,4.0
SP0161,Maxi Phone v3896,NextCom,smartphone,426.7,Smartphone with 5G connectivity.,67,3.0
SP0162,Fusion Phone v86028,NextCom,smartphone,504.13,Smartphone with 5G connectivity.,16,3.5
SPK0163,Bass Boost v77419,SoundCo,speaker,239.69,Speaker delivering crystal clear sound.,45,4.0
LP0164,Performance Pro v98743,EconCo,laptop,699.56,17 inch laptop featuring long battery life.,87,4.2
SP0165,Fusion Phone v26358,TechCo,smartphone,757.9,Smartphone with long-lasting battery.,161,0.0
SP0166,Mobile Z v42103,NextCom,smartphone,400.13,Smartphone with 5G connectivity.,13,4.5
LP0167,Econo Note v38444,NextGen,laptop,302.88,14 inch laptop featuring lightweight design.,34,4.0
SP0168,SmartPhone Y v66623,TechCo,smartphone,999.45,Smartphone with advanced camera system.,159,4.2
SPK0169,BoomBox v47387,BeatBox,speaker,92.66,Speaker delivering wireless connectivity.,185,4.1
SPK0170,SoundWave v87745,SoundCo,speaker,445.71,Speaker delivering crystal clear sound.,123,0.0
SP0171,Mobile Z v30481,NextCom,smartphone,840.61,Smartphone with long-lasting battery.,142,4.0
SPK0172,BoomBox v79982,BassLine,speaker,479.58,Speaker delivering deep bass.,106,4.5
LP0173,Pro Book v72176,NextGen,laptop,300.23,15.6 inch laptop featuring latest processor.,122,4.0
TV0174,Cinema TV v51447,ViewTech,smart_tv,2792.87,55 inch smart TV with HDR support.,23,4.5
LP0175,Pro Book v10125,TechCo,laptop,903.14,17 inch laptop featuring lightweight design.,177,3.2
SPK0176,Audio Pro v89304,AudioMax,speaker,474.71,Speaker delivering compact design.,174,0.0
SP0177,SmartPhone X v98873,RivalTech,smartphone,867.52,Smartphone with long-lasting battery.,7,4.2
LP0178,Pro Book v39568,TechCo,laptop,738.98,17 inch laptop featuring high performance graphics.,132,4.0
TV0179,Infinity TV v48154,Spectra,smart_tv,1817.46,40 inch smart TV with smart connectivity.,186,4.0
TV0180,SmartView TV v15136,CinemaCo,smart_tv,583.27,75 inch smart TV with 4K resolution.,19,3.0
SP0181,Fusion Phone v4621,RivalTech,smartphone,280.8,Smartphone with advanced camera system.,8,4.2
SPK0182,SoundWave v80706,SoundCo,speaker,149.42,Speaker delivering deep bass.,64,4.5
TV0183,Vivid TV v47635,CinemaCo,smart_tv,2552.34,55 inch smart TV with smart connectivity.,75,3.5
SPK0184,ClearSound v47954,SoundCo,speaker,403.51,Speaker delivering compact design.,72,3.9
TV0185,Ultra TV v13205,CinemaCo,smart_tv,936.86,75 inch smart TV with smart connectivity.,193,4.0
TV0186,Vivid TV v99967,ViewTech,smart_tv,761.71,40 inch smart TV with smart connectivity.,110,3.8
LP0187,Business Mate v51722,NextGen,laptop,381.1,17 inch laptop featuring lightweight design.,4,4.1
SP0188,Fusion Phone v11557,NextCom,smartphone,929.03,Smartphone with 5G connectivity.,198,0.0
SPK0189,Bass Boost v56572,SoundCo,speaker,269.42,Speaker delivering wireless connectivity.,60,0.0
LP0190,Pro Book v61251,UltraComp,laptop,852.38,15.6 inch laptop featuring high performance graphics.,14,0.0
SP0191,Mobile Z v76740,NextCom,smartphone,751.81,Smartphone with 5G connectivity.,104,4.2
TV0192,Cinema TV v15735,ViewTech,smart_tv,2231.55,75 inch smart TV with sleek design.,105,4.2
TV0193,Cinema TV v3256,CinemaCo,smart_tv,859.71,75 inch smart TV with smart connectivity.,167,3.8
SPK0194,BoomBox v37926,AudioMax,speaker,265.5,Speaker delivering wireless connectivity.,55,4.5
SPK0195,Bass Boost v84253,BassLine,speaker,226.03,Speaker delivering compact design.,188,0.0
TV0196,SmartView TV v80398,ViewTech,smart_tv,553.64,65 inch smart TV with HDR support.,21,3.8
LP0197,Performance Pro v32212,EconCo,laptop,1764.16,15.6 inch laptop featuring high performance graphics.,160,4.5
TV0198,Infinity TV v98841,Spectra,smart_tv,935.1,65 inch smart TV with HDR support.,146,4.0
TV0199,Cinema TV v41687,Spectra,smart_tv,1728.53,50 inch smart TV with HDR support.,149,4.5
TV0200,SmartView TV v26330,Spectra,smart_tv,1251.43,50 inch smart TV with HDR support.,78,4.0
SP0201,Maxi Phone v98649,TechCo,smartphone,933.68,Smartphone with long-lasting battery.,42,5.0
TV0202,Infinity TV v27644,UltraVision,smart_tv,654.04,55 inch smart TV with HDR support.,166,4.5
SPK0203,BoomBox v14367,BassLine,speaker,152.29,Speaker delivering deep bass.,6,4.0
SPK0204,Audio Pro v2655,SoundCo,speaker,61.83,Speaker delivering deep bass.,109,4.5
LP0205,Econo Note v70215,TechCo,laptop,391.52,14 inch laptop featuring high performance graphics.,113,3.8
LP0206,Econo Note v46295,UltraComp,laptop,725.44,15.6 inch laptop featuring long battery life.,191,4.2
SP0207,SmartPhone Y v45417,Futura,smartphone,913.95,Smartphone with long-lasting battery.,80,4.0
LP0208,Ultra Thin v93520,NextGen,laptop,1138.04,15.6 inch laptop featuring latest processor.,106,0.0
TV0209,Vivid TV v10976,UltraVision,smart_tv,1758.58,50 inch smart TV with smart connectivity.,144,3.2
SP0210,Maxi Phone v9007,TechCo,smartphone,698.92,Smartphone with advanced camera system.,33,4.2
SPK0211,Bass Boost v58275,BassLine,speaker,178.24,Speaker delivering crystal clear sound.,31,4.2
SPK0212,Bass Boost v99686,BeatBox,speaker,421.29,Speaker delivering deep bass.,1,0.0
SPK0213,Bass Boost v83026,SoundCo,speaker,135.61,Speaker delivering crystal clear sound.,106,3.5
SPK0214,SoundWave v20039,BeatBox,speaker,382.25,Speaker delivering wireless connectivity.,103,4.2
TV0215,Vivid TV v90921,Spectra,smart_tv,1633.82,50 inch smart TV with 4K resolution.,15,3.8
TV0216,Vivid TV v81676,ViewTech,smart_tv,1777.28,75 inch smart TV with smart connectivity.,98,5.0
LP0217,Pro Book v64332,NextGen,laptop,1007.35,13.3 inch laptop featuring high performance graphics.,145,4.0
SPK0218,BoomBox v21013,BassLine,speaker,450.96,Speaker delivering crystal clear sound.,90,4.0
LP0219,Performance Pro v16351,NextGen,laptop,1154.63,14 inch laptop featuring latest processor.,163,4.0
LP0220,Pro Book v68500,TechCo,laptop,1394.09,14 inch laptop featuring high performance graphics.,118,4.2
LP0221,Performance Pro v1966,TechCo,laptop,768.75,15.6 inch laptop featuring latest processor.,50,4.0
SP0222,Fusion Phone v74037,RivalTech,smartphone,217.73,Smartphone with 5G connectivity.,48,4.5
SP0223,Mobile Z v2073,RivalTech,smartphone,955.91,Smartphone with 5G connectivity.,42,0.0
SP0224,Maxi Phone v55291,NextCom,smartphone,462.71,Smartphone with 5G connectivity.,196,4.5
LP0225,Ultra Thin v80179,UltraComp,laptop,1888.72,13.3 inch laptop featuring high performance graphics.,200,4.0
SP0226,Maxi Phone v75194,RivalTech,smartphone,1120.98,Smartphone with 5G connectivity.,60,3.9
TV0227,Vivid TV v23619,CinemaCo,smart_tv,1168.09,65 inch smart TV with sleek design.,62,4.0
SP0228,Fusion Phone v63706,RivalTech,smartphone,404.7,Smartphone with long-lasting battery.,46,4.3
SPK0229,Audio Pro v15120,SoundCo,speaker,334.96,Speaker delivering crystal clear sound.,90,4.5
TV0230,SmartView TV v93878,Spectra,smart_tv,1399.29,75 inch smart TV with HDR support.,46,3.5
SP0231,Maxi Phone v39652,Futura,smartphone,1171.55,Smartphone with advanced camera system.,200,4.0
LP0232,Econo Note v82626,EconCo,laptop,1950.68,13.3 inch laptop featuring lightweight design.,77,3.8
SPK0233,BoomBox v24125,BeatBox,speaker,402.51,Speaker delivering wireless connectivity.,97,0.0
SP0234,SmartPhone Y v97182,RivalTech,smartphone,1025.22,Smartphone with long-lasting battery.,152,4.5
LP0235,Pro Book v59424,NextGen,laptop,703.33,13.3 inch laptop featuring lightweight design.,29,0.0
LP0236,Pro Book v1149,UltraComp,laptop,1473.86,15.6 inch laptop featuring lightweight design.,158,3.5
LP0237,Pro Book v70537,TechCo,laptop,1984.98,15.6 inch laptop featuring latest processor.,45,3.9
LP0238,Econo Note v60354,NextGen,laptop,998.9,13.3 inch laptop featuring latest processor.,14,4.3
SPK0239,SoundWave v26928,BeatBox,speaker,287.17,Speaker delivering wireless connectivity.,191,4.2
TV0240,Ultra TV v40149,UltraVision,smart_tv,700.23,40 inch smart TV with HDR support.,13,4.0
SPK0241,ClearSound v57499,BassLine,speaker,96.27,Speaker delivering deep bass.,127,0.0
SPK0242,ClearSound v85415,SoundCo,speaker,203.85,Speaker delivering wireless connectivity.,169,3.8
SPK0243,BoomBox v95737,BeatBox,speaker,304.54,Speaker delivering crystal clear sound.,141,0.0
SPK0244,SoundWave v2453,SoundCo,speaker,301.75,Speaker delivering crystal clear sound.,123,4.1
SP0245,SmartPhone X v79214,RivalTech,smartphone,335.02,Smartphone with vivid display.,129,3.5
LP0246,Performance Pro v63701,EconCo,laptop,1472.25,14 inch laptop featuring lightweight design.,172,4.0
SPK0247,Bass Boost v68747,BassLine,speaker,132.16,Speaker delivering crystal clear sound.,10,4.0
SP0248,SmartPhone Y v60674,TechCo,smartphone,466.06,Smartphone with long-lasting battery.,178,4.5
LP0249,Econo Note v40050,NextGen,laptop,910.99,15.6 inch laptop featuring long battery life.,62,3.7
LP0250,Pro Book v98550,NextGen,laptop,1916.21,14 inch laptop featuring lightweight design.,12,3.8
SPK0251,SoundWave v11507,BassLine,speaker,67.63,Speaker delivering crystal clear sound.,100,0.0
TV0252,Infinity TV v58044,ViewTech,smart_tv,1622.16,55 inch smart TV with sleek design.,99,0.0
LP0253,Pro Book v84004,NextGen,laptop,1496.91,14 inch laptop featuring latest processor.,160,4.5
LP0254,Business Mate v91304,EconCo,laptop,1077.37,15.6 inch laptop featuring long battery life.,150,0.0
SPK0255,ClearSound v94114,BeatBox,speaker,354.6,Speaker delivering compact design.,39,4.0
LP0256,Performance Pro v10288,TechCo,laptop,1098.61,13.3 inch laptop featuring long battery life.,55,3.5
TV0257,SmartView TV v5351,ViewTech,smart_tv,2028.67,75 inch smart TV with HDR support.,113,0.0
TV0258,SmartView TV v8496,CinemaCo,smart_tv,1860.16,65 inch smart TV with sleek design.,104,3.7
LP0259,Pro Book v60455,NextGen,laptop,727.4,14 inch laptop featuring lightweight design.,176,3.6
TV0260,SmartView TV v72517,UltraVision,smart_tv,2354.86,50 inch smart TV with sleek design.,112,3.5
SPK0261,Audio Pro v44613,BeatBox,speaker,213.78,Speaker delivering deep bass.,117,3.5
TV0262,Cinema TV v90317,Spectra,smart_tv,2430.04,40 inch smart TV with HDR support.,128,3.2
SP0263,Fusion Phone v71322,RivalTech,smartphone,414.64,Smartphone with long-lasting battery.,110,4.0
SP0264,Mobile Z v30605,Futura,smartphone,931.86,Smartphone with long-lasting battery.,179,4.2
SPK0265,BoomBox v62171,BeatBox,speaker,70.16,Speaker delivering compact design.,145,3.8
SPK0266,ClearSound v38721,BassLine,speaker,74.86,Speaker delivering compact design.,20,4.2
SPK0267,ClearSound v44370,AudioMax,speaker,151.34,Speaker delivering compact design.,111,3.8
SPK0268,SoundWave v38330,SoundCo,speaker,136.41,Speaker delivering deep bass.,192,0.0
LP0269,Ultra Thin v3138,NextGen,laptop,1856.28,14 inch laptop featuring long battery life.,33,4.0
TV0270,Infinity TV v77984,ViewTech,smart_tv,2352.9,65 inch smart TV with 4K resolution.,73,4.2
LP0271,Econo Note v9367,TechCo,laptop,389.91,14 inch laptop featuring latest processor.,138,4.5
